Feature,Importance_dMSE
num__conc_x_HCI,0.022885090326879135
num__log_conc,0.018726871589001014
num__Protein_conc,0.018626364402840885
num__Phi_Protein,0.011630641352355323
num__conc_x_kP,0.010734584897878017
num__conc_sq,0.009192191610505863
num__Exp_Crowding,0.005436224172612249
num__KD_Asymptote,0.0042005120026888925
cat__Stabilizer_type_trehalose,0.003904081612375661
num__Buffer_conc,0.003473048053513679
cat__Buffer_type_acetate,0.0028666124145891436
num__trehalose_low,0.0026653685020565174
num__Phi_Total,0.0024311735179325857
num__Effective_Protein_Fraction,0.002169599156469467
num__Total_Solute_Mass,0.0020488762862849556
num__Temperature,0.0019816370674349947
cat__Stabilizer_type_sucrose,0.001742043992244837
num__Buffer_pH,0.001723170472526318
num__trehalose_high,0.0014912512885222606
num__prior_stabilizer,0.001335278927141522
num__Crowding_Index,0.0012757165948595588
cat__Excipient_type_lysine,0.0010433577472315648
cat__Stabilizer_type_none,0.0009847804705319565
num__prior_arginine,0.0009495824289873465
num__Stabilizer_conc,0.0009406657160091481
num__prior_tween-20,0.0009381225491387549
cat__Excipient_type_proline,0.0008905037069268321
num__proline_low,0.0008185384084869653
num__Phi_Stabilizer,0.0008177722572720886
num__Stabilizer_Squared,0.000807965064695354
cat__Protein_class_type_bispecific,0.0007899227103997861
num__nacl_high,0.0007754773389741527
cat__Protein_type_vudalimab,0.0007741622229185952
cat__Protein_type_bevacizumab,0.0007639654118201406
num__prior_tween-80,0.0007554739866882307
num__arginine_low,0.0007493519561433803
cat__Salt_type_nacl,0.0007468578199280214
num__prior_proline,0.0007070934238347475
cat__Surfactant_type_tween-80,0.000699950794990873
num__Excipient_conc,0.0006995127416724034
cat__Excipient_type_arginine,0.0006946985201553343
num__lysine_low,0.0006835424834336582
num__prior_lysine,0.0005980956497731518
num__prior_nacl,0.0005260963039186058
cat__Buffer_type_pbs,0.0005091461836516376
num__nacl_low,0.0004806729819669762
num__Salt_conc,0.0004427551073389567
num__lysine_high,0.00041740782884574015
cat__Buffer_type_histidine,0.00041653382144905826
cat__Protein_type_trastuzumab,0.0003593119148505245
num__proline_high,0.00035281389725284537
cat__Protein_type_etanercept,0.00031534321378198435
cat__Protein_type_pembrolizumab,0.00030338100958301854
cat__Protein_type_ibalizumab,0.0002998827053848248
cat__Protein_class_type_mab_igg1,0.00029422695665897933
num__tween-80_low,0.00028847270223184007
num__arginine_high,0.0002750366995157433
num__tween-20_high,0.00022918833984631078
num__tween-20_low,0.00019708759526996557
num__tween-80_high,0.00018905432048019546
cat__Protein_type_belatacept,0.0001870734266194371
num__Surfactant_conc,0.0001833044081792079
cat__Protein_type_bsa,0.00018191422742341347
cat__Protein_class_type_other,0.00018033614902395433
cat__Surfactant_type_tween-20,0.00017417873010804746
cat__Protein_class_type_fc-fusion,0.00016188995217732323
cat__Excipient_type_none,0.00015697909293754114
cat__Protein_type_adalimumab,0.0001567067342105686
cat__Protein_class_type_unknown,0.00015660621414505943
num__HCI,0.00014957492889735788
num__kP,0.00014888792621844428
cat__Protein_class_type_polyclonal,0.00014310250998173304
cat__Protein_type_poly-higg,0.0001296262301479431
cat__Protein_class_type_mab_igg4,0.00012822638702739836
cat__Protein_type_none,0.0001244808756189677
cat__Protein_type_bgg,0.00011590327335722107
num__C_Class,8.781710365056081e-05
cat__Salt_type_none,6.892199337622633e-05
cat__Protein_type_nivolumab,4.74093197202468e-05
num__MW,2.991286442355183e-05
cat__Surfactant_type_none,2.657226905379735e-05
num__PI_range,3.6984232044609544e-06
num__PI_mean,1.7886362648246446e-06
num__stabilizer_high,0.0
num__stabilizer_low,0.0
